,id,name,kor_name,tag,new_kor_name
0,1,absinthe,압생트,"향쑥, 허브, 신맛, 단맛",압생트
1,2,acacia,아카시아,"은은함, 포근함, 달콤함",아카시아
2,11,akigalawood,아키갈라우드,"우드, 약간의 후추, 패출리",아키갈라우드
3,12,aldehydes,알데하이드,"쾌적함, 신선한 바람",알데하이드
4,14,algae,알게,"강함, 바다향, 해변향",조류
5,15,allspice,올스파이스,"후추, 시나몬, 넛멕, 정향",올스파이스
6,16,almond,아몬드,"씁쓸함, 부드러움, 고소함",아몬드
7,17,almond blossom,아몬드 블라썸,"가벼움, 경쾌함",아몬드 꽃
8,26,amber,엠버,"바닐라, 부드러움, 머스크, 따스함, 무거움",엠버
9,28,ambergris,엠버그리스,"부드러움, 몽환, 포근함, 짭짤함, 머스크",용연향
10,30,amberwood,엠버우드,"바닐라, 부드러움, 머스크, 우디, 따스함",엠버우드
11,31,ambrarome,엠브러로움,"따뜻한 가죽 향, 약간의 후추, 가벼운 담배, 커피",엠브러로움
12,36,ambroxan,앰브락산,앰버그리스,암브록산
13,39,amyris,애미리스,"건조함, 탄 나무향",아미리스
14,42,angelica,안젤리카,"가벼운 후추, 흙냄새, 진한 풀향, 나무",안젤리카
15,44,anise,애너스,"달콤함, 레몬향",아니스
16,45,apple,애플,"청량함, 달콤함, 약간의 신맛",사과
17,46,apple blossom,애플 플라썸,"가벼움, 봄, 달콤한 꽃향",애플 꽃
18,51,apricot,애프리콧,"달콤함, 부드러운 과즙형, 새콤함",살구
19,52,apricot blossom,애프리콧 플라썸,"섬세함, 꽃향",살구 꽃
20,60,artemisia,아르테미시아,"쑥, 약초, 씁쓸함",아르테미시아
21,74,bamboo,대나무,"상쾌함, 깨끗함, 숲속",대나무
22,82,basil,바질,"허브, 스파이시, 레몬, 그린, 깨끗함, 남성",바질
23,84,bay leaf,베이 리프,"스파이시, 허브",월계수 잎
24,89,beeswax,비즈왁스,"꿀, 곡물, 담배, 부드러움",밀랍
25,95,benzoin,벤조인,"바닐라, 따뜻함, 편안함, 차분함",벤조인
26,96,bergamot,베르가못,"감귤, 시큼함, 가벼움, 스파이시, 아로마",베르가못
27,98,birch,버치,"달콤함, 우디, 싱그러움",자작나무
28,99,birch tar,버치 타르,"가죽, 탄 나무, 연기",자작나무 타르
29,101,bitter orange,비터 오렌지,"시트러스, 시큼함, 그린, 달콤함",광귤
30,102,black currant,블랙 커렌트,"암모니아, 고양이오줌, 달콤함 ,과일향",블랙커런트
31,108,blackberry,블랙베리,"달콤함, 과일, 톡쏘는",블랙베리
32,114,blood orange,블러드 오렌지,"시트러스, 시큼함, 그린, 달콤함",블러드 오렌지
33,118,blueberry,블루베리,"잼, 달콤함, 과일향",블루베리
34,125,boysenberry,보이센베리,"새콤함, 시큼함, 달콤함",보이젠베리
35,128,brazilian rosewood,브라질리안 로즈우드,"꽃향, 우디, 스파이시",브라질자단목
36,136,brown sugar,브라운 슈거,"바닐라, 달달함",흑설탕
37,152,cactus,켓터스,"촉촉함, 풀내음",선인장
38,157,calone,칼로우니,"워터리, 마린, 시원함, 깨끗함",칼론
39,160,cambodian oud,캄보디안 오드,"우디, 겨울, 밤",캄보디안 오드
40,161,camellia,카멜리아,은은함,동백나무
41,165,candied fruits,캔디드 프루츠,달콤함,과일 설탕 절임
42,167,candied orange,캔디드 오렌지,달콤함,오렌지 설탕 절임
43,176,caramel,카라멜,"설탕, 단맛, 풍성함, 관능",카라멜
44,177,caraway,카라웨이,"날카로움, 달콤함, 스파이시",캐러웨이
45,178,cardamom,카르다맘,"씁쓸함, 스파이시, 달콤함, 생강",카더멈
46,180,carnation,카네이션,"스파이시, 꽃향, 밝음, 선명함",카네이션
47,183,carrot,캐롯,"흙, 달콤한",당근
48,185,cascalone,케스칼로네,"신선함, 꽃향, 과일향",카스칼론
49,187,cashmeran,캐즈미런,"부드러움, 따뜻함, 우디, 머스크, 앰버",캐즈미런
50,189,cassia,카시아,"스파이시, 흙, 강렬함",계수나무
51,191,castoreum,케스토리움,"사향, 애니멀릭, 가죽, 강렬함",카스트오름
52,192,caviar,캐비어,"짭짤함, 바다향",캐비어
53,193,cedar,시더,"우디향, 스파이시",향나무
54,201,chamomile,카모마일,"아로마, 허브, 달콤함, 진정",캐모마일
55,202,champaca,샴파카,"꽃향, 따뜻함, 자극적",참파카
56,203,champagne,샴페인,"시트러스, 과일향, 청량함",샴페인
57,207,cherry,체리,"상큼함, 단맛, 신맛, 매혹, 관능",체리
58,208,cherry blossom,체리 블라썸,"가벼움, 신선함, 꽃향",벚꽃
59,209,chestnut,케슈넛,"고소함, 짭짤함",캐슈넛
60,221,chrysanthemum,크리센티멈,"매콤함, 텁텁함",국화
61,224,cinnamon,시나몬,"달콤함, 묵직함, 매콤함",계피
62,225,cinnamon leaf,시나몬 리프,"은은함, 산뜻함, 포근함",계피 잎
63,226,citron,시트론,"상큼함, 달콤함, 향긋함",유자
64,228,civet,시벳,"강렬함, 시큼함, 페로몬",사향고양이
